╔══════════════════════════════════════════════════════════════════════════════╗
║                        Labels Diff Report (813×1626)                         ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Name                           │ Ext  │    Diff% │   Actual(WxH) │ Expected(WxH) │ Status       ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ amazon                         │ zpl  │    2.59% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ amazonshipping                 │ zpl  │    3.10% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ auspost                        │ zpl  │    3.79% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ bpost                          │ zpl  │    3.37% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ brtit                          │ zpl  │    2.13% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ bstc                           │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ canadapost                     │ zpl  │    4.04% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ colissimo                      │ zpl  │    3.64% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ correos                        │ zpl  │    3.47% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dbs                            │ zpl  │    4.23% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dbschenker                     │ zpl  │    4.85% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhl_express                    │ zpl  │    3.11% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhl_home_delivery              │ zpl  │    4.86% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhlecommercetr                 │ zpl  │    3.47% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhlpaket                       │ zpl  │    2.43% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhlparcelit                    │ zpl  │    6.23% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dhlparceluk                    │ zpl  │    5.57% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dpdde                          │ zpl  │    3.94% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dpdpl                          │ zpl  │    6.90% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dpduk                          │ epl  │    5.93% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ evri                           │ zpl  │    2.72% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ fedex                          │ zpl  │    6.17% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ fedex_express                  │ zpl  │   14.27% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ fedex_ground                   │ zpl  │   11.10% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ glscz                          │ zpl  │    2.65% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ glsdk_return                   │ zpl  │    4.11% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ icapaket                       │ zpl  │    4.63% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ inpost                         │ zpl  │    4.72% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ jcpenney                       │ zpl  │    5.16% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ kmart                          │ zpl  │    7.83% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ labelary                       │ zpl  │    3.44% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ ontrac                         │ zpl  │    3.36% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ pnldpd                         │ zpl  │   10.60% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ pocztex                        │ zpl  │    3.74% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ porterbuddy                    │ zpl  │    6.40% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ posteit                        │ zpl  │    4.32% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ posten                         │ zpl  │    2.06% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ postnl                         │ zpl  │    3.46% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ purolator                      │ zpl  │    3.33% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ royalmail                      │ zpl  │    3.05% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ seur                           │ zpl  │    3.84% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ swisspost                      │ zpl  │    1.52% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ tnt_express                    │ zpl  │    4.30% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ ups                            │ zpl  │    6.25% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ ups_import_control             │ zpl  │   11.65% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ ups_surepost                   │ zpl  │    8.36% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ usps                           │ zpl  │    4.46% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ usps_apo                       │ zpl  │    9.82% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ usps_intl                      │ zpl  │    8.90% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ yodel                          │ zpl  │    3.33% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Summary: 50 total │ 1 perfect │ 0 good │ 33 minor │ 16 moderate │ 0 high │ 0 skip │ 0 err
╚══════════════════════════════════════════════════════════════════════════════╝
